29.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
09:30:59.0 (477453)|USER_INFO|[EXTERNAL]|005p0000000rQMP|ant.custodio@monash.edu.unicrm.copado|Australian Eastern Standard Time|GMT+10:00
09:30:59.0 (595335)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (2286273)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (2363653)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (3416586)|SOQL_EXECUTE_BEGIN|[7]|Aggregations:0|SELECT Id, name, UserLicenseId FROM Profile WHERE Name = 'System Administrator' LIMIT 1
09:30:59.0 (11253277)|SOQL_EXECUTE_END|[7]|Rows:1
09:30:59.0 (11500099)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (13744479)|DML_BEGIN|[27]|Op:Insert|Type:User|Rows:1
09:30:59.0 (359572715)|DML_END|[27]
09:30:59.0 (359771840)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (360152519)|SOQL_EXECUTE_BEGIN|[7]|Aggregations:0|SELECT Id, name, UserLicenseId FROM Profile WHERE Name = 'System Administrator' LIMIT 1
09:30:59.0 (364427679)|SOQL_EXECUTE_END|[7]|Rows:1
09:30:59.0 (364558480)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (364818581)|SOQL_EXECUTE_BEGIN|[14]|Aggregations:0|SELECT Id, name, UserLicenseId FROM Profile WHERE Name = 'Chatter Free User' LIMIT 1
09:30:59.0 (367504730)|SOQL_EXECUTE_END|[14]|Rows:1
09:30:59.0 (367607529)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (369676996)|DML_BEGIN|[36]|Op:Insert|Type:PermissionSet|Rows:1
09:30:59.0 (571968657)|DML_END|[36]
09:30:59.0 (572226038)|ENTERING_MANAGED_PKG|permissioner
09:30:59.0 (572421558)|DML_BEGIN|[36]|Op:Insert|Type:PermissionSet|Rows:1
09:30:59.0 (633435207)|DML_END|[36]
09:30:59.0 (634431396)|ENTERING_MANAGED_PKG|permissioner
