35.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
09:34:13.0 (604299)|USER_INFO|[EXTERNAL]|005p0000000rQMP|ant.custodio@monash.edu.unicrm.copado|Australian Eastern Standard Time|GMT+10:00
09:34:13.0 (714403)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (2447712)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT Id, Name FROM Feature__c WHERE Name = 'Branch Management'
09:34:13.0 (3740101)|SOQL_EXECUTE_END|[5]|Rows:0
09:34:13.0 (4540347)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (4621643)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (4681461)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (4726585)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (5693239)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (7402101)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (7440748)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (7624481)|DML_BEGIN|[11]|Op:Insert|Type:copado__Feature__c|Rows:1
09:34:13.0 (48902945)|DML_END|[11]
09:34:13.0 (48970550)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (49044315)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (49068866)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (49079716)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (49619569)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (50771260)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (50792117)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (50951779)|DML_BEGIN|[16]|Op:Update|Type:copado__Feature__c|Rows:1
09:34:13.0 (70180285)|DML_END|[16]
09:34:13.0 (70203494)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (70242083)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (70253699)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (70261061)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (70560797)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (71701404)|ENTERING_MANAGED_PKG|copado
09:34:13.0 (71719721)|ENTERING_MANAGED_PKG|copado
