34.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
09:15:53.16 (16990547)|ENTERING_MANAGED_PKG|copado
09:15:53.16 (24987119)|SOQL_EXECUTE_BEGIN|[43]|Aggregations:0|SELECT copado__API_URL__c FROM User WHERE id = :tmpVar1
09:15:53.16 (38175860)|SOQL_EXECUTE_END|[43]|Rows:1
09:15:53.16 (876816110)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:53.16 (914155313)|DML_END|[356]
09:15:53.16 (921816219)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:53.16 (938415360)|DML_END|[356]
09:15:53.16 (945812889)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:53.16 (962342525)|DML_END|[356]
09:15:53.16 (969307801)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:53.16 (985378858)|DML_END|[356]
09:15:53.16 (993351243)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:53.16 (1009114473)|DML_END|[356]
09:15:53.16 (1015626587)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:54.31 (1031458173)|DML_END|[356]
09:15:54.31 (1038113468)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:54.31 (1053336734)|DML_END|[356]
09:15:54.31 (1059667130)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:54.31 (1075527234)|DML_END|[356]
09:15:54.31 (1081904779)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:54.31 (1096813118)|DML_END|[356]
09:15:54.31 (1103036952)|DML_BEGIN|[356]|Op:Upsert|Type:copado__Feature__c|Rows:1
09:15:54.31 (1117514828)|DML_END|[356]
