31.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
09:35:18.0 (478274)|USER_INFO|[EXTERNAL]|005p0000000rQMP|ant.custodio@monash.edu.unicrm.copado|Australian Eastern Standard Time|GMT+10:00
09:35:18.0 (595457)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (6809872)|SOQL_EXECUTE_BEGIN|[43]|Aggregations:0|SELECT copado__API_URL__c FROM User WHERE id = :tmpVar1
09:35:18.0 (16571769)|SOQL_EXECUTE_END|[43]|Rows:1
09:35:18.0 (24377822)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (24468593)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (24558390)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (24600354)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (24635631)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (24817398)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (24867589)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (25736661)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (27301788)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (27352408)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (27724173)|SOQL_EXECUTE_BEGIN|[39]|Aggregations:0|SELECT Id, copado__API_URL__c FROM User WHERE Id = :tmpVar1
09:35:18.0 (34317496)|SOQL_EXECUTE_END|[39]|Rows:1
09:35:18.0 (35938187)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (36167963)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37048371)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37781807)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37799955)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37845209)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37856366)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37891482)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (37914645)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38342398)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38377819)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38412198)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38432969)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38621709)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38700463)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38814528)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38855195)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38917522)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (38952133)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (39049283)|DML_BEGIN|[85]|Op:Upsert|Type:copado__Settings__c|Rows:1
09:35:18.0 (85880752)|DML_END|[85]
09:35:18.0 (85933234)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (86012400)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (86227097)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (86330285)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (86355555)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (88808411)|SOQL_EXECUTE_BEGIN|[98]|Aggregations:0|SELECT Id, SetupOwnerId, SetupOwner.Name, copado__Enable_CCM__c, copado__Enable_Copado__c FROM Copado_License__c
09:35:18.0 (95101692)|SOQL_EXECUTE_END|[98]|Rows:0
09:35:18.0 (95248750)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95282280)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95368782)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95441040)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95514301)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95548129)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95603519)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (95867846)|SOQL_EXECUTE_BEGIN|[35]|Aggregations:0|SELECT Id, Name FROM User WHERE UserType = 'Standard' LIMIT 2
09:35:18.0 (131438291)|SOQL_EXECUTE_END|[35]|Rows:2
09:35:18.0 (131649481)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (131801074)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (131867196)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (135753375)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136271879)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136361474)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136435379)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136506645)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136534877)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136587191)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136689868)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136748197)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136800747)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136852555)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136880581)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (136906041)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (137097681)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (137168428)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (137218262)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (137312706)|DML_BEGIN|[158]|Op:Insert|Type:copado__Copado_License__c|Rows:1
09:35:18.0 (157575320)|DML_END|[158]
09:35:18.0 (157667047)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (157702741)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (157725249)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (157746153)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (158784629)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (158878107)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (158934152)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (158998662)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159051914)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159062389)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159069088)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159090425)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159103127)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159113280)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (159476841)|SOQL_EXECUTE_BEGIN|[98]|Aggregations:0|SELECT Id, SetupOwnerId, SetupOwner.Name, copado__Enable_CCM__c, copado__Enable_Copado__c FROM Copado_License__c
09:35:18.0 (193579445)|SOQL_EXECUTE_END|[98]|Rows:1
09:35:18.0 (194037224)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (194198706)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (194316329)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (194358132)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (194434269)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (194510200)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (194538520)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197391984)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197441719)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197496735)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197540601)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197633817)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197712781)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197749985)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197784503)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197814317)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197828483)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197864571)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197890829)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197900863)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197924205)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (197931795)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (198059589)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199095179)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199126678)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199157395)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199180479)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199222182)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199274086)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199292647)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199308527)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199324285)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199335494)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199356506)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199373416)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199381453)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199394274)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199419252)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199435295)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199502114)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199578023)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199631178)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (199728722)|DML_BEGIN|[158]|Op:Insert|Type:copado__Copado_License__c|Rows:1
09:35:18.0 (216100143)|DML_END|[158]
09:35:18.0 (216196793)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (216215288)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (216232321)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (216242048)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (216903463)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (216978984)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217026635)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217101130)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217170851)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217189079)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217198514)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217227353)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217240420)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217251807)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (217664674)|SOQL_EXECUTE_BEGIN|[98]|Aggregations:0|SELECT Id, SetupOwnerId, SetupOwner.Name, copado__Enable_CCM__c, copado__Enable_Copado__c FROM Copado_License__c
09:35:18.0 (238966559)|SOQL_EXECUTE_END|[98]|Rows:2
09:35:18.0 (239199188)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239258187)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239280531)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239306870)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239319479)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239342062)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239354194)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239414461)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239455194)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239496273)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239510943)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239520276)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239545251)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (239567470)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (242873007)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (242924771)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (242960722)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (242985197)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243036386)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243144861)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243169051)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243191525)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243218172)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243232207)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243267316)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243291548)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243305110)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243338990)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243358374)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243391131)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243399021)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (243544272)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244448594)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244479623)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244508952)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244532518)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244578509)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244636011)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244654564)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244669775)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244684816)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244695949)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244716458)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244733826)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244739301)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244761008)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244780194)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244799788)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244807083)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (244918710)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245157405)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245186876)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245215642)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245237718)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245264044)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245286002)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245313043)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245351405)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245391729)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245412620)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245487215)|ENTERING_MANAGED_PKG|copado
09:35:18.0 (245563519)|DML_BEGIN|[185]|Op:Update|Type:copado__Copado_License__c|Rows:1
09:35:18.0 (265558524)|DML_END|[185]
09:35:18.0 (268168479)|ENTERING_MANAGED_PKG|copado
