35.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
09:34:48.1 (1160521)|USER_INFO|[EXTERNAL]|005p0000000rQMP|ant.custodio@monash.edu.unicrm.copado|Australian Eastern Standard Time|GMT+10:00
09:34:48.1 (1274834)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (4584160)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (8070837)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (8618103)|DML_BEGIN|[9]|Op:Insert|Type:copado__Settings__c|Rows:1
09:34:48.1 (48819842)|DML_END|[9]
09:34:48.1 (50018780)|DML_BEGIN|[14]|Op:Insert|Type:copado__Copado_License__c|Rows:1
09:34:48.1 (71008996)|DML_END|[14]
09:34:48.1 (71057476)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (72658931)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (73268294)|DML_BEGIN|[21]|Op:Update|Type:copado__Copado_License__c|Rows:1
09:34:48.1 (95929857)|DML_END|[21]
09:34:48.1 (95976857)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (97552472)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (98180357)|DML_BEGIN|[28]|Op:Update|Type:copado__Copado_License__c|Rows:1
09:34:48.1 (115873234)|DML_END|[28]
09:34:48.1 (116071439)|DML_BEGIN|[30]|Op:Update|Type:copado__Settings__c|Rows:1
09:34:48.1 (136832662)|DML_END|[30]
09:34:48.1 (136882484)|ENTERING_MANAGED_PKG|copado
09:34:48.1 (138433377)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (678310598)|USER_INFO|[EXTERNAL]|005p0000000rQMP|ant.custodio@monash.edu.unicrm.copado|Australian Eastern Standard Time|GMT+10:00
09:34:48.678 (678343133)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (678961098)|DML_BEGIN|[41]|Op:Insert|Type:copado__Settings__c|Rows:1
09:34:48.678 (698645887)|DML_END|[41]
09:34:48.678 (698734601)|DML_BEGIN|[42]|Op:Insert|Type:copado__Copado_License__c|Rows:1
09:34:48.678 (715966089)|DML_END|[42]
09:34:48.678 (716056364)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (716150634)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (716214039)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (717775029)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (717795388)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (718273217)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (718297612)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (718369690)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (718490620)|DML_BEGIN|[49]|Op:Update|Type:copado__Settings__c|Rows:1
09:34:48.678 (737548205)|DML_END|[49]
09:34:48.678 (737647883)|DML_BEGIN|[53]|Op:Update|Type:copado__Copado_License__c|Rows:1
09:34:48.678 (753942500)|DML_END|[53]
09:34:48.678 (753968781)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (754002731)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (754016762)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (755818916)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (755832298)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (756480014)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (756498119)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (756541423)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (756633437)|DML_BEGIN|[60]|Op:Update|Type:copado__Settings__c|Rows:1
09:34:48.678 (785492878)|DML_END|[60]
09:34:48.678 (785609791)|DML_BEGIN|[64]|Op:Update|Type:copado__Copado_License__c|Rows:1
09:34:48.678 (802209445)|DML_END|[64]
09:34:48.678 (802263343)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (802322810)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (802341807)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (804532326)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (804547340)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (805305827)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (805330380)|ENTERING_MANAGED_PKG|copado
09:34:48.678 (805388857)|ENTERING_MANAGED_PKG|copado
